Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_120591-1,1,CR2032,C575181
"C1, C2",0805,2,9pf,
C3,CAP-TH_BD10.0-P5.00-D1.0-FD,1,35PX1000MEFC10X20,C136014
C4,0805,1,100nf,
D1,LL-34_L3.5-W1.5-RD,1,D_Zener_Small,
"D1A1, D1B1, D1C1, D1D1, D1E1, D1F1, D1G1, D2A1, D2B1, D2C1, D2D1, D2E1, D2F1, D2G1, D3A1, D3B1, D3C1, D3D1, D3E1, D3F1, D3G1, D4A1, D4B1, D4C1, D4D1, D4E1, D4F1, D4G1",PinHeader_1x01_P2.54mm_Vertical,28,LED,
"D29, D30",PinHeader_1x01_P2.54mm_Vertical,2,LED R,
"D31, D32",PinHeader_1x01_P2.54mm_Vertical,2,LED B,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Anode1,
J10,PinHeader_1x03_P2.54mm_Vertical,1,Digits Power Converter,C5258884
J11,PinHeader_1x02_P2.54mm_Vertical,1,Buzzer,C5258883
J2,PinHeader_1x01_P2.54mm_Vertical,1,Anode2,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Anode3,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Anode4,
J5,PinHeader_1x01_P2.54mm_Vertical,1,AnodeDP,
J6,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,
J7,PinHeader_1x06_P2.54mm_Vertical,1,HC-05,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Power In,C5258883
J9,PinHeader_1x03_P2.54mm_Vertical,1,5V Converter,C5258884
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q25, Q26, Q27, Q28, Q29, Q3, Q32, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,30,NMOS,C347475
Q30,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,PMOS,C347476
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8, R9",0805,32,R,
R33,PinHeader_1x02_P2.54mm_Vertical,1,R_Photo,
"R34, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R67",0805,31,1k,
R35,0805,1,1M,
"R65, R66, R68, R69, R70",0805,5,10k,
"R71, R73",0805,2,2.2k,
"R72, R74",0805,2,4.7k,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
"U2, U3, U4, U5",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,4,"74HC595D,118",C5947
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1302ZN+,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,16MHz,C390767
Y1,Crystal_DS26_D2.0mm_L6.0mm_Horizontal,1,32.768kHz,
